district_name,state,nces_id,url,corona,covid,closure,scraping_failed,link_found
butler county,alabama,0100510,http://www.butlerco.k12.al.us,TRUE,TRUE,TRUE,FALSE,TRUE
calhoun county,alabama,0100540,http://www.calhoun.k12.al.us,FALSE,TRUE,FALSE,FALSE,FALSE
chambers county,alabama,0100600,http://www.chambersk12.org,FALSE,FALSE,FALSE,FALSE,FALSE
cherokee county,alabama,0100630,http://www.cherokeek12.org,TRUE,TRUE,TRUE,FALSE,TRUE
chickasaw city,alabama,0100188,http://www.chickasawschools.com/,TRUE,TRUE,TRUE,FALSE,TRUE
chilton county,alabama,0100660,http://www.chilton.k12.al.us,FALSE,TRUE,TRUE,FALSE,TRUE
choctaw county,alabama,0100690,http://www.choctawal.org/,FALSE,TRUE,FALSE,FALSE,TRUE
clarke county,alabama,0100720,http://www.clarkecountyschools.org,TRUE,TRUE,TRUE,FALSE,TRUE
clay county,alabama,0100750,http://www.claycoboe.org,FALSE,TRUE,FALSE,FALSE,TRUE
cleburne county,alabama,0100780,http://www.cleburneschools.net,TRUE,TRUE,TRUE,FALSE,TRUE
coffee county,alabama,0100810,http://www.coffeecountyschools.org,TRUE,FALSE,TRUE,FALSE,TRUE
colbert county,alabama,0100840,http://www.colbert.k12.al.us,FALSE,TRUE,FALSE,FALSE,TRUE
conecuh county,alabama,0100870,http://www.conecuh.k12.al.us,TRUE,TRUE,FALSE,FALSE,TRUE
coosa county,alabama,0100900,http://coosaschools.k12.al.us,FALSE,TRUE,FALSE,FALSE,FALSE
covington county,alabama,0100930,http://www.cov.k12.al.us,FALSE,TRUE,FALSE,FALSE,TRUE
crenshaw county,alabama,0100960,http://www.crenshawcounty.schoolinsites.com,FALSE,FALSE,FALSE,FALSE,FALSE
cullman city,alabama,0100990,http://www.cullmancats.net,FALSE,TRUE,TRUE,FALSE,TRUE
cullman county,alabama,0101020,http://www.ccboe.org,TRUE,FALSE,FALSE,FALSE,TRUE
dale county,alabama,0101050,http://www.dalecountyboe.org,FALSE,TRUE,FALSE,FALSE,TRUE
daleville city,alabama,0101080,http://www.daleville.k12.al.us,FALSE,FALSE,FALSE,FALSE,FALSE
dallas county,alabama,0101110,http://www.dallask12.org,TRUE,TRUE,FALSE,FALSE,TRUE
decatur city,alabama,0101170,http://www.dcs.edu,TRUE,FALSE,FALSE,FALSE,TRUE
dekalb county,alabama,0101140,http://www.dekalbk12.org,FALSE,TRUE,FALSE,FALSE,FALSE
demopolis city,alabama,0101200,http://www.dcsedu.com,TRUE,TRUE,FALSE,FALSE,TRUE
dothan city,alabama,0101230,http://www.dothan.k12.al.us,TRUE,TRUE,TRUE,FALSE,TRUE
elba city,alabama,0101260,"https://en.wikipedia.org/wiki/Elba,_Alabama",FALSE,FALSE,FALSE,FALSE,FALSE
elmore county,alabama,0101290,http://www.elmoreco.com,TRUE,TRUE,FALSE,FALSE,TRUE
enterprise city,alabama,0101320,http://www.enterpriseschools.net,FALSE,FALSE,FALSE,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
etowah county,alabama,0101380,http://www.ecboe.org,TRUE,TRUE,FALSE,FALSE,TRUE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
fairfield city,alabama,0101440,http://www.fairfield.cyberschool.com,FALSE,FALSE,FALSE,FALSE,FALSE
fayette county,alabama,0101470,http://www.fayette.k12.al.us,TRUE,TRUE,FALSE,FALSE,TRUE
florence city,alabama,0101530,http://www.florencek12.org,FALSE,TRUE,FALSE,FALSE,TRUE
fort payne city,alabama,0101560,http://www.ftpayk12.org,TRUE,TRUE,TRUE,FALSE,TRUE
franklin county,alabama,0101590,http://www.franklin.k12.al.us,TRUE,TRUE,FALSE,FALSE,TRUE
gadsden city,alabama,0101620,http://www.gcs.k12.al.us,FALSE,FALSE,FALSE,FALSE,FALSE
geneva city,alabama,0101640,http://www.genevacityschools.com,TRUE,FALSE,TRUE,FALSE,FALSE
geneva county,alabama,0101660,http://www.genevacountyschools.com,TRUE,TRUE,FALSE,FALSE,TRUE
greene county,alabama,0101680,http://www.greene.k12.al.us,TRUE,TRUE,FALSE,FALSE,TRUE
guntersville city,alabama,0101690,http://www.guntersvilleboe.com,TRUE,TRUE,FALSE,FALSE,TRUE
hale county,alabama,0101710,http://www.halek12.org,FALSE,FALSE,FALSE,FALSE,FALSE
haleyville city,alabama,0101720,http://www.haley-k12.us,FALSE,FALSE,TRUE,FALSE,FALSE
hartselle city,alabama,0101730,http://www.hartselletigers.org,TRUE,TRUE,FALSE,FALSE,TRUE
henry county,alabama,0101740,http://www.henrycountyboe.org,TRUE,TRUE,FALSE,FALSE,TRUE
homewood city,alabama,0101760,http://www.homewood.k12.al.us,FALSE,TRUE,FALSE,FALSE,TRUE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
houston county,alabama,0101770,http://www.hcboe.us,TRUE,FALSE,FALSE,FALSE,FALSE
huntsville city,alabama,0101800,http://www.huntsvillecityschools.org,TRUE,FALSE,TRUE,FALSE,TRUE
jackson county,alabama,0101830,http://www.jackson.k12.al.us,FALSE,TRUE,FALSE,FALSE,TRUE
jacksonville city,alabama,0101860,http://www.jcsboe.org,FALSE,TRUE,TRUE,FALSE,TRUE
jasper city,alabama,0101890,http://www.jasper.k12.al.us,TRUE,FALSE,FALSE,FALSE,FALSE
jefferson county,alabama,0101920,http://www.jefcoed.com,FALSE,FALSE,FALSE,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
lanett city,alabama,0101980,http://www.lanettcityschools.org,FALSE,FALSE,FALSE,FALSE,FALSE
lauderdale county,alabama,0102010,http://www.lcschools.org,TRUE,TRUE,FALSE,FALSE,TRUE
lawrence county,alabama,0102040,http://www.lawrenceal.org,TRUE,TRUE,TRUE,FALSE,TRUE
lee county,alabama,0102070,http://www.lee.k12.al.us,TRUE,TRUE,FALSE,FALSE,TRUE
leeds city,alabama,0100011,http://www.leedsk12.org,FALSE,FALSE,TRUE,FALSE,FALSE
limestone county,alabama,0102100,http://www.lcsk12.org,FALSE,TRUE,FALSE,FALSE,TRUE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
lowndes county,alabama,0102160,http://www.lowndesboe.org,FALSE,TRUE,TRUE,FALSE,TRUE
macon county,alabama,0102190,http://www.maconk12.org,FALSE,FALSE,FALSE,FALSE,FALSE
madison city,alabama,0100008,http://www.madisoncity.k12.al.us,TRUE,TRUE,FALSE,FALSE,FALSE
madison county,alabama,0102220,http://www.mcssk12.org,FALSE,TRUE,FALSE,FALSE,TRUE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
marion county,alabama,0102310,http://www.mcbe.net,FALSE,FALSE,TRUE,FALSE,TRUE
marshall county,alabama,0100006,http://www.marshallk12.org,TRUE,TRUE,TRUE,FALSE,TRUE
midfield city,alabama,0102350,http://www.midfield.k12.al.us,TRUE,TRUE,FALSE,FALSE,TRUE
mobile county,alabama,0102370,http://www.mcpss.com,TRUE,TRUE,FALSE,FALSE,FALSE
monroe county,alabama,0102400,http://www.monroe.k12.al.us,FALSE,FALSE,TRUE,FALSE,TRUE
montgomery county,alabama,0102430,http://www.mps.k12.al.us,TRUE,TRUE,TRUE,FALSE,TRUE
morgan county,alabama,0102480,http://www.morgank12.org,TRUE,TRUE,FALSE,FALSE,TRUE
mountain brook city,alabama,0102490,http://www.mtnbrook.k12.al.us,TRUE,TRUE,FALSE,FALSE,TRUE
muscle shoals city,alabama,0102520,http://www.mscs.k12.al.us,TRUE,TRUE,FALSE,FALSE,TRUE
oneonta city,alabama,0102550,http://www.oneontacityschools.com,FALSE,FALSE,FALSE,FALSE,FALSE
opelika city,alabama,0102580,http://www.opelikaschools.org,TRUE,TRUE,FALSE,FALSE,TRUE
opp city,alabama,0102610,http://www.oppcityschools.com,FALSE,FALSE,FALSE,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
pelham city,alabama,0100194,http://www.pelhamcityschools.org,FALSE,TRUE,TRUE,FALSE,TRUE
pell city,alabama,0102650,http://www.pellcityschools.net,FALSE,FALSE,FALSE,FALSE,FALSE
perry county,alabama,0102670,http://perrycountyal.org,FALSE,FALSE,FALSE,FALSE,FALSE
phenix city,alabama,0102700,http://www.pcboe.net,TRUE,TRUE,TRUE,FALSE,TRUE
pickens county,alabama,0102730,http://www.pickenscountyschools.net,TRUE,TRUE,FALSE,FALSE,TRUE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
pike county,alabama,0102790,http://www.pikecountyschools.com,FALSE,TRUE,FALSE,FALSE,TRUE
pike road city,alabama,0100195,http://www.pikeroadschools.org,FALSE,TRUE,FALSE,FALSE,TRUE
randolph county,alabama,0102820,http://www.randolphboe.org,TRUE,TRUE,FALSE,FALSE,TRUE
roanoke city,alabama,0102850,http://www.roanokecityschools.org,FALSE,FALSE,FALSE,FALSE,FALSE
russell county,alabama,0102880,http://myrcsd.org,TRUE,TRUE,FALSE,FALSE,TRUE
russellville city,alabama,0102910,http://www.rcs.k12.al.us,FALSE,FALSE,FALSE,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
satsuma city,alabama,0100189,http://satsumacity.schoolinsites.com/,FALSE,FALSE,FALSE,FALSE,FALSE
scottsboro city,alabama,0102940,http://www.scottsboroschools.net,FALSE,FALSE,FALSE,FALSE,FALSE
selma city,alabama,0102970,http://selmacityschools.org,FALSE,TRUE,FALSE,FALSE,FALSE
sheffield city,alabama,0103000,http://www.scs.k12.al.us,TRUE,FALSE,FALSE,FALSE,TRUE
shelby county,alabama,0103030,http://www.shelbyed.k12.al.us,TRUE,TRUE,TRUE,FALSE,TRUE
st clair county,alabama,0103062,http://www.sccboe.org,FALSE,FALSE,FALSE,FALSE,FALSE
sumter county,alabama,0103090,http://sumter.k12.al.us,TRUE,FALSE,FALSE,FALSE,TRUE
sylacauga city,alabama,0103120,http://www.sylacauga.k12.al.us,FALSE,TRUE,FALSE,FALSE,TRUE
talladega city,alabama,0103150,http://www.talladega-cs.net,FALSE,FALSE,FALSE,FALSE,FALSE
talladega county,alabama,0103180,http://www.talladegacountyal.org/,TRUE,TRUE,FALSE,FALSE,FALSE
tallapoosa county,alabama,0103210,http://www.tallapoosak12.org,FALSE,FALSE,FALSE,FALSE,FALSE
tallassee city,alabama,0103240,http://www.tcschools.com,FALSE,FALSE,FALSE,FALSE,FALSE
tarrant city,alabama,0103270,http://www.tarrant.k12.al.us,TRUE,FALSE,TRUE,FALSE,TRUE
thomasville city,alabama,0103300,http://thomasvilleschools.org,TRUE,TRUE,FALSE,FALSE,TRUE
troy city,alabama,0103330,http://www.troyschools.net,TRUE,TRUE,TRUE,FALSE,TRUE
trussville city,alabama,0100013,http://trussvillecityschools.com,FALSE,TRUE,TRUE,FALSE,FALSE
tuscaloosa city,alabama,0103360,http://www.tuscaloosacityschools.com,TRUE,TRUE,TRUE,FALSE,FALSE
tuscaloosa county,alabama,0103390,http://www.tcss.net,TRUE,TRUE,TRUE,FALSE,TRUE
tuscumbia city,alabama,0103420,http://www.tuscumbia.k12.al.us,TRUE,TRUE,TRUE,FALSE,TRUE
vestavia hills city,alabama,0103430,http://www.vestavia.k12.al.us,FALSE,TRUE,FALSE,FALSE,TRUE
walker county,alabama,0103450,http://www.walkercountyschools.com,TRUE,TRUE,FALSE,FALSE,TRUE
washington county,alabama,0103480,http://wcbek12.org,TRUE,TRUE,FALSE,FALSE,FALSE
wilcox county,alabama,0103510,http://www.wilcox.k12.al.us,FALSE,FALSE,FALSE,FALSE,FALSE
winfield city,alabama,0103540,http://www.winfield.k12.al.us,TRUE,TRUE,FALSE,FALSE,TRUE
winston county,alabama,0103580,http://www.winstonk12.org,FALSE,TRUE,FALSE,FALSE,TRUE
alaska gateway school district,alaska,0200050,http://www.agsd.us,TRUE,TRUE,TRUE,FALSE,TRUE
aleutians east borough school district,alaska,0200007,http://www.aebsd.org,FALSE,TRUE,FALSE,FALSE,FALSE
anchorage school district,alaska,0200180,http://www.asdk12.org,FALSE,TRUE,TRUE,FALSE,TRUE
annette island school district,alaska,0200525,http://www.aisdk12.org,FALSE,FALSE,FALSE,FALSE,FALSE
bering strait school district,alaska,0200020,http://www.bssd.org,FALSE,TRUE,FALSE,FALSE,TRUE
bristol bay borough school district,alaska,0200030,http://www.bbbsd.net,FALSE,FALSE,FALSE,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
copper river school district,alaska,0200070,http://www.crsd.us,FALSE,TRUE,FALSE,FALSE,TRUE
cordova city school district,alaska,0200060,http://www.cordovasd.org,FALSE,TRUE,FALSE,FALSE,TRUE
craig city school district,alaska,0200090,http://www.ccsd.k12.ak.us,FALSE,FALSE,TRUE,FALSE,TRUE
delta-greely school district,alaska,0200100,http://www.dgsd.us,TRUE,TRUE,FALSE,FALSE,TRUE
denali borough school district,alaska,0200770,http://www.dbsd.org,FALSE,TRUE,FALSE,FALSE,TRUE
dillingham city school district,alaska,0200120,http://www.dlgsd.org,FALSE,TRUE,TRUE,FALSE,TRUE
fairbanks north star borough school district,alaska,0200600,http://www.k12northstar.org,TRUE,TRUE,TRUE,FALSE,TRUE
galena city school district,alaska,0200130,http://www.galenaalaska.org,FALSE,TRUE,FALSE,FALSE,TRUE
haines borough school district,alaska,0200270,http://www.hbsd.net,FALSE,TRUE,FALSE,FALSE,TRUE
hoonah city school district,alaska,0200300,http://www.hoonahschools.org,TRUE,TRUE,TRUE,FALSE,TRUE
iditarod area school district,alaska,0200520,http://www.iditarodsd.org,TRUE,TRUE,TRUE,FALSE,TRUE
juneau borough school district,alaska,0200210,http://www.juneauschools.org,FALSE,FALSE,TRUE,FALSE,TRUE
kake city school district,alaska,0200360,http://www.kakeschools.com,FALSE,TRUE,FALSE,FALSE,TRUE
kashunamiut school district,alaska,0200005,http://www.chevakschool.org,FALSE,FALSE,TRUE,FALSE,FALSE
kenai peninsula borough school district,alaska,0200390,http://www.kpbsd.k12.ak.us,TRUE,TRUE,TRUE,FALSE,TRUE
ketchikan gateway borough school district,alaska,0200150,http://www.kgbsd.org,TRUE,TRUE,TRUE,FALSE,TRUE
klawock city school district,alaska,0200450,http://www.klawockschool.com,FALSE,FALSE,TRUE,FALSE,TRUE
kodiak island borough school district,alaska,0200480,http://www.kibsd.org,TRUE,TRUE,TRUE,FALSE,TRUE
kuspuk school district,alaska,0200760,http://www.kuspuk.org,TRUE,FALSE,TRUE,FALSE,TRUE
lake and peninsula borough school district,alaska,0200485,http://www.lpsd.com,FALSE,FALSE,FALSE,FALSE,FALSE
lower kuskokwim school district,alaska,0200001,http://www.lksd.org,FALSE,TRUE,TRUE,FALSE,TRUE
lower yukon school district,alaska,0200003,http://www.lysd.org/,TRUE,TRUE,TRUE,FALSE,TRUE
matanuska-susitna borough school district,alaska,0200510,http://www.matsuk12.us,TRUE,TRUE,FALSE,FALSE,TRUE
nenana city school district,alaska,0200540,http://nenanalynx.org,FALSE,TRUE,TRUE,FALSE,FALSE
nome public schools,alaska,0200570,http://www.nomeschools.com,FALSE,FALSE,FALSE,FALSE,FALSE
north slope borough school district,alaska,0200610,http://www.nsbsd.org,FALSE,TRUE,TRUE,FALSE,TRUE
northwest arctic borough school district,alaska,0200625,http://www.nwarctic.org,TRUE,TRUE,TRUE,FALSE,TRUE
petersburg borough school district,alaska,0200660,http://www.pcsd.us,FALSE,FALSE,FALSE,FALSE,FALSE
saint mary's school district,alaska,0200680,http://www.smcsd.us,FALSE,FALSE,FALSE,FALSE,FALSE
sitka school district,alaska,0200240,http://www.sitkaschools.org,TRUE,TRUE,TRUE,FALSE,TRUE
skagway school district,alaska,0200690,http://www.skagwayschool.org,FALSE,FALSE,FALSE,FALSE,FALSE
southeast island school district,alaska,0200700,http://www.sisd.org,FALSE,FALSE,FALSE,FALSE,FALSE
southwest region school district,alaska,0200710,http://www.swrsd.org,TRUE,TRUE,FALSE,FALSE,TRUE
unalaska city school district,alaska,0200720,http://www.ucsd.net,FALSE,TRUE,FALSE,FALSE,FALSE
valdez city school district,alaska,0200780,http://www.valdezcityschools.org,FALSE,TRUE,FALSE,FALSE,TRUE
wrangell public school district,alaska,0200810,http://www.wpsd.us/,TRUE,TRUE,TRUE,FALSE,TRUE
yukon flats school district,alaska,0200775,http://www.yukonflats.net,FALSE,FALSE,FALSE,FALSE,FALSE
yukon-koyukuk school district,alaska,0200862,http://www.yksd.com,TRUE,FALSE,FALSE,FALSE,TRUE
yupiit school district,alaska,0200004,http://www.yupiit.org,FALSE,TRUE,FALSE,FALSE,TRUE
academy del sol inc. (90199),arizona,0400797,https://www.academydelsol.com/,FALSE,FALSE,FALSE,FALSE,FALSE
academy of building industries inc. (85540),arizona,0400414,https://www.aobihs.com/,FALSE,TRUE,TRUE,FALSE,FALSE
academy of mathematics and science inc. (79961),arizona,0400368,http://www.amstucson.org,FALSE,TRUE,TRUE,FALSE,TRUE
academy of mathematics and science inc. (92768),arizona,0400940,https://www.amsschools.org/,FALSE,TRUE,FALSE,FALSE,TRUE
academy of tucson inc. (78897),arizona,0400202,http://academyoftucson.com,FALSE,FALSE,FALSE,FALSE,FALSE
academy with community partners  inc (79213),arizona,0400276,https://www.acpathope.org/,TRUE,FALSE,FALSE,FALSE,TRUE
accelerated elementary and secondary schools (6364),arizona,0400129,https://www.schooldigger.com/go/AZ/district/00129/search.aspx,FALSE,TRUE,FALSE,FALSE,TRUE
acclaim charter school (4325),arizona,0400122,https://www.schooldigger.com/go/AZ/schools/0012201585/school.aspx,FALSE,TRUE,FALSE,FALSE,TRUE
acorn montessori charter school (79437),arizona,0400320,http://www.acornmontessori.com,TRUE,TRUE,FALSE,FALSE,FALSE
agua fria union high school district (4289),arizona,0400450,http://www.aguafria.org,TRUE,TRUE,FALSE,FALSE,TRUE
aguila elementary district (4249),arizona,0400480,https://www.aguilaschool.org,TRUE,TRUE,TRUE,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
ajo unified district (4409),arizona,0400520,https://www.ajoschools.org/,FALSE,FALSE,FALSE,FALSE,FALSE
alhambra elementary district (4280),arizona,0400600,http://www.alhambraesd.org,FALSE,TRUE,TRUE,FALSE,FALSE
all aboard charter school (79969),arizona,0400396,http://allaboardcharter.com,FALSE,FALSE,FALSE,FALSE,FALSE
allen-cochran enterprises inc. (4347),arizona,0400111,http://ceeschool.com/,FALSE,TRUE,FALSE,FALSE,TRUE
altar valley elementary district (4418),arizona,0404770,http://www.altarvalley.com,FALSE,TRUE,TRUE,FALSE,TRUE
american basic schools llc (79215),arizona,0400218,http://www.burkebasicschool.com,FALSE,TRUE,TRUE,FALSE,FALSE
american charter schools foundation d.b.a. alta vi (80995),arizona,0400619,https://www.acsfoundation.org/,FALSE,FALSE,FALSE,FALSE,FALSE
american charter schools foundation d.b.a. apache  (79883),arizona,0400357,https://www.acsfoundation.org/,FALSE,FALSE,FALSE,FALSE,FALSE
american charter schools foundation d.b.a. crestvi (79874),arizona,0400385,https://www.acsfoundation.org/,FALSE,FALSE,FALSE,FALSE,FALSE
american charter schools foundation d.b.a. desert  (79872),arizona,0400384,https://www.acsfoundation.org/,FALSE,FALSE,FALSE,FALSE,FALSE
american charter schools foundation d.b.a. estrell (79873),arizona,0400352,https://www.acsfoundation.org/,FALSE,FALSE,FALSE,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
american charter schools foundation d.b.a. south p (80989),arizona,0400618,https://www.schooldigger.com/go/AZ/district/00618/search.aspx,FALSE,TRUE,FALSE,FALSE,TRUE
american charter schools foundation d.b.a. south r (88334),arizona,0400447,https://www.acsfoundation.org/,FALSE,FALSE,FALSE,FALSE,FALSE
american charter schools foundation d.b.a. sun val (79877),arizona,0400354,https://www.acsfoundation.org/,FALSE,FALSE,FALSE,FALSE,FALSE
american charter schools foundation d.b.a. west ph (79879),arizona,0400355,https://www.acsfoundation.org/,FALSE,FALSE,FALSE,FALSE,FALSE
american heritage academy (6365),arizona,0400130,http://www.americanheritageacademy.org/home,TRUE,TRUE,FALSE,FALSE,TRUE
american leadership academy inc. (4348),arizona,0400112,http://www.alaschools.org/,FALSE,TRUE,TRUE,FALSE,TRUE
american virtual academy (79461),arizona,0400329,http://www.primavera-online-high-school.com,TRUE,TRUE,FALSE,FALSE,TRUE
amphitheater unified district (4406),arizona,0400680,http://www.amphi.com,TRUE,TRUE,TRUE,FALSE,TRUE
antelope union high school district (4506),arizona,0400720,https://www.antelopeunion.org/,FALSE,FALSE,FALSE,FALSE,FALSE
anthem preparatory academy (90532),arizona,0400819,https://anthemprep.greatheartsamerica.org/,FALSE,FALSE,FALSE,FALSE,FALSE
apache junction unified district (4443),arizona,0400790,http://www.ajusd.org,TRUE,TRUE,FALSE,FALSE,TRUE
archway classical academy arete (92312),arizona,0400888,https://azreportcards.azed.gov/districts/detail/92312,FALSE,FALSE,FALSE,FALSE,FALSE
archway classical academy chandler (90917),arizona,0400834,https://archwaychandler.greatheartsamerica.org,FALSE,FALSE,FALSE,FALSE,FALSE
archway classical academy cicero (92314),arizona,0400886,http://archwaycicero.org/,FALSE,FALSE,FALSE,FALSE,FALSE
archway classical academy glendale (91878),arizona,0400866,http://archwayglendale.org/,FALSE,FALSE,FALSE,FALSE,FALSE
archway classical academy lincoln (92656),arizona,0400925,https://www.schooldigger.com/go/AZ/district/00925/search.aspx,FALSE,TRUE,FALSE,FALSE,TRUE
archway classical academy north phoenix (91758),arizona,0400873,http://archwaynorthphoenix.org/,FALSE,FALSE,FALSE,FALSE,FALSE
archway classical academy scottsdale (90857),arizona,0400841,http://www.greatheartsaz.org,TRUE,TRUE,FALSE,FALSE,TRUE
archway classical academy trivium east (92704),arizona,0400930,https://archwaytriviumeast.greatheartsamerica.org/,FALSE,TRUE,FALSE,FALSE,TRUE
archway classical academy trivium west (90915),arizona,0400832,https://archwaytrivium.greatheartsamerica.org,FALSE,TRUE,FALSE,FALSE,TRUE
archway classical academy veritas (90916),arizona,0400833,http://www.archwayveritas.org,FALSE,FALSE,FALSE,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
arizona agribusiness & equine center inc. (85816),arizona,0400417,http://www.aaechighschools.com,FALSE,FALSE,FALSE,FALSE,FALSE
arizona agribusiness & equine center inc. (87403),arizona,0400426,http://www.aaechighschools.com/public-charter-school/south-mountain.html,FALSE,FALSE,FALSE,FALSE,FALSE
arizona agribusiness & equine center inc. (90779),arizona,0400828,https://www.schooldigger.com/go/AZ/district/00828/search.aspx,FALSE,TRUE,FALSE,FALSE,TRUE
arizona agribusiness & equine center inc. (91131),arizona,0400838,http://www.aaechighschools.com,FALSE,FALSE,FALSE,FALSE,FALSE
arizona autism charter schools inc. (91958),arizona,0400913,http://www.autismcharter.org/,TRUE,TRUE,TRUE,FALSE,TRUE
arizona call-a-teen youth resources inc. (4346),arizona,0400057,http://www.acyraz.org,TRUE,TRUE,TRUE,FALSE,TRUE
arizona community development corporation (79947),arizona,0400361,http://lpatucson.org,FALSE,FALSE,FALSE,FALSE,FALSE
arizona connections academy charter school inc. (87407),arizona,0400427,http://www.connectionsacademy.com/arizona-online-school/home.aspx,FALSE,TRUE,TRUE,FALSE,TRUE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
arizona montessori charter school at anthem (85749),arizona,0400415,http://www.caurusacademy.org,TRUE,TRUE,TRUE,FALSE,TRUE
arizona school for the arts (4345),arizona,0400056,http://www.goasa.org,FALSE,FALSE,FALSE,FALSE,FALSE
arlington elementary district (4274),arizona,0400840,http://www.arlingtonelem.org,FALSE,TRUE,TRUE,FALSE,TRUE
ash fork joint unified district (4471),arizona,0400910,http://www.afjusd.org,TRUE,TRUE,TRUE,FALSE,TRUE
asu preparatory academy - casa grande (92987),arizona,0400947,http://asuprep.asu.edu,TRUE,TRUE,FALSE,FALSE,TRUE
asu preparatory academy (346763),arizona,0400946,http://asuprep.asu.edu/,TRUE,TRUE,FALSE,FALSE,TRUE
asu preparatory academy (89949),arizona,0400764,http://asuprep.asu.edu,TRUE,TRUE,FALSE,FALSE,TRUE
asu preparatory academy (90273),arizona,0400788,https://asuprep.asu.edu/,TRUE,TRUE,FALSE,FALSE,TRUE
asu preparatory academy (91303),arizona,0400858,http://asuprep.asu.edu,TRUE,TRUE,FALSE,FALSE,TRUE
asu preparatory academy (91305),arizona,0400859,http://asuprep.asu.edu,TRUE,TRUE,FALSE,FALSE,TRUE
asu preparatory academy (91307),arizona,0400857,http://asuprep.asu.edu,TRUE,TRUE,FALSE,FALSE,TRUE
asu preparatory academy (92325),arizona,0400890,http://asuprep.asu.edu,TRUE,TRUE,FALSE,FALSE,TRUE
asu preparatory academy (92327),arizona,0400884,http://asuprep.asu.edu,TRUE,TRUE,FALSE,FALSE,TRUE
asu preparatory academy (92716),arizona,0400956,https://asuprep.asu.edu/,TRUE,TRUE,FALSE,FALSE,TRUE
avondale elementary district (4272),arizona,0400960,http://www.avondale.k12.az.us,FALSE,FALSE,TRUE,FALSE,FALSE
az compass schools inc. (89869),arizona,0400785,http://www.skylineschools.com,FALSE,TRUE,FALSE,FALSE,TRUE
baboquivari unified school district #40 (4412),arizona,0403950,http://www.iobusd40.org/,TRUE,FALSE,TRUE,FALSE,TRUE
bagdad unified district (4468),arizona,0401000,https://www.bagdadschools.org/,TRUE,FALSE,TRUE,FALSE,TRUE
ball charter schools (dobson) (79204),arizona,0400184,https://www.dobsonacademy.org/,TRUE,FALSE,TRUE,FALSE,TRUE
ball charter schools (hearn) (4294),arizona,0400100,https://www.ballcharterschools.org/,FALSE,FALSE,FALSE,FALSE,FALSE
